	"State"	"State Code"	"Mother's Bridged Race"	"Mother's Bridged Race Code"	Deaths	Births	Death Rate
	"Alabama"	"01"	"Black or African American"	"2054-5"	204	18877	10.81
	"Alabama"	"01"	"White"	"2106-3"	218	38716	5.63
	"Alaska"	"02"	"White"	"2106-3"	29	6450	4.50
	"Arizona"	"04"	"Black or African American"	"2054-5"	63	5406	11.65
	"Arizona"	"04"	"White"	"2106-3"	341	67792	5.03
	"Arkansas"	"05"	"Black or African American"	"2054-5"	93	7760	11.98
	"Arkansas"	"05"	"White"	"2106-3"	194	27963	6.94
	"California"	"06"	"Black or African American"	"2054-5"	249	30338	8.21
	"California"	"06"	"White"	"2106-3"	1461	355505	4.11
	"Colorado"	"08"	"Black or African American"	"2054-5"	27	4309	6.27
	"Colorado"	"08"	"White"	"2106-3"	246	55857	4.40
	"Connecticut"	"09"	"Black or African American"	"2054-5"	54	5576	9.68
	"Connecticut"	"09"	"White"	"2106-3"	96	26705	3.59
	"Delaware"	"10"	"Black or African American"	"2054-5"	41	3283	12.49
	"Delaware"	"10"	"White"	"2106-3"	24	6807	3.53
	"District of Columbia"	"11"	"Black or African American"	"2054-5"	59	5317	11.10
	"District of Columbia"	"11"	"White"	"2106-3"	17	3688	4.61 (Unreliable)
	"Florida"	"12"	"Black or African American"	"2054-5"	580	58465	9.92
	"Florida"	"12"	"White"	"2106-3"	737	156163	4.72
	"Georgia"	"13"	"Black or African American"	"2054-5"	522	48573	10.75
	"Georgia"	"13"	"White"	"2106-3"	372	73456	5.06
	"Hawaii"	"15"	"Black or African American"	"2054-5"	12	619	19.39 (Unreliable)
	"Hawaii"	"15"	"White"	"2106-3"	30	5781	5.19
	"Idaho"	"16"	"White"	"2106-3"	87	20905	4.16
	"Illinois"	"17"	"Black or African American"	"2054-5"	345	27804	12.41
	"Illinois"	"17"	"White"	"2106-3"	527	111066	4.74
	"Indiana"	"18"	"Black or African American"	"2054-5"	140	11130	12.58
	"Indiana"	"18"	"White"	"2106-3"	431	68143	6.32
	"Iowa"	"19"	"Black or African American"	"2054-5"	30	3079	9.74
	"Iowa"	"19"	"White"	"2106-3"	163	33499	4.87
	"Kansas"	"20"	"Black or African American"	"2054-5"	34	3204	10.61
	"Kansas"	"20"	"White"	"2106-3"	179	31513	5.68
	"Kentucky"	"21"	"Black or African American"	"2054-5"	56	5695	9.83
	"Kentucky"	"21"	"White"	"2106-3"	301	47570	6.33
	"Louisiana"	"22"	"Black or African American"	"2054-5"	245	24562	9.97
	"Louisiana"	"22"	"White"	"2106-3"	177	34653	5.11
	"Maine"	"23"	"White"	"2106-3"	70	11361	6.16
	"Maryland"	"24"	"Black or African American"	"2054-5"	261	26094	10.00
	"Maryland"	"24"	"White"	"2106-3"	176	39071	4.50
